cik,symbol,year,quarter,filing_url
861838,IDRA,2018/,QTR4/,https://www.sec.gov/Archives/edgar/data/1551138/0001638599-18-001154.txt
1173514,HY,2018/,QTR4/,https://www.sec.gov/Archives/edgar/data/1663719/0001127602-18-028974.txt
1628369,CWK,2018/,QTR4/,https://www.sec.gov/Archives/edgar/data/1748810/0000903423-18-000536.txt
910638,DDD,2018/,QTR4/,https://www.sec.gov/Archives/edgar/data/910638/0001209191-18-054365.txt
66740,MMM,2018/,QTR4/,https://www.sec.gov/Archives/edgar/data/66740/0001127602-18-029095.txt
1655759,ARVN,2018/,QTR4/,https://www.sec.gov/Archives/edgar/data/1478660/0001104659-18-060328.txt
1468748,KOD,2018/,QTR4/,https://www.sec.gov/Archives/edgar/data/1551139/0001638599-18-001156.txt
879169,INCY,2018/,QTR4/,https://www.sec.gov/Archives/edgar/data/1551139/0001638599-18-001150.txt
1131324,GHDX,2018/,QTR4/,https://www.sec.gov/Archives/edgar/data/1551139/0001638599-18-001153.txt
3545,ALCO,2018/,QTR4/,https://www.sec.gov/Archives/edgar/data/1591442/0001209191-18-054366.txt
1023731,EGHT,2018/,QTR4/,https://www.sec.gov/Archives/edgar/data/1023731/0001023731-18-000040.txt
1591588,AMRK,2018/,QTR4/,https://www.sec.gov/Archives/edgar/data/1591588/0001591588-18-000053.txt
1702780,ATUS,2018/,QTR4/,https://www.sec.gov/Archives/edgar/data/1709665/0000947871-18-000795.txt
1316016,AQ,2018/,QTR4/,https://www.sec.gov/Archives/edgar/data/1192382/0001209191-18-053440.txt
824142,AAON,2018/,QTR4/,https://www.sec.gov/Archives/edgar/data/824142/0000824142-18-000097.txt
1750,AIR,2018/,QTR4/,https://www.sec.gov/Archives/edgar/data/1750/0001127602-18-028746.txt
1800,ABT,2018/,QTR4/,https://www.sec.gov/Archives/edgar/data/1800/0001179110-18-011958.txt
315858,BBX/BBXTB,2018/,QTR4/,https://www.sec.gov/Archives/edgar/data/1199936/0000315858-18-000087.txt
1122976,POL,2018/,QTR4/,https://www.sec.gov/Archives/edgar/data/1222888/0001127602-18-028774.txt
815094,ABMD,2018/,QTR4/,https://www.sec.gov/Archives/edgar/data/815094/0001179110-18-012017.txt
318300,PEBO,2018/,QTR4/,https://www.sec.gov/Archives/edgar/data/1550962/0000318300-18-000223.txt
1705696,VICI,2018/,QTR4/,https://www.sec.gov/Archives/edgar/data/1201260/0001705696-18-000070.txt
712034,ACCO,2018/,QTR4/,https://www.sec.gov/Archives/edgar/data/712034/0000712034-18-000137.txt
1138723,ARAY,2018/,QTR4/,https://www.sec.gov/Archives/edgar/data/1138723/0001138723-18-000050.txt
2034,ACET,2018/,QTR4/,https://www.sec.gov/Archives/edgar/data/2034/0001567619-18-003735.txt
771856,CSBR,2018/,QTR4/,https://www.sec.gov/Archives/edgar/data/1220630/0001628280-18-012240.txt
70145,NFG,2018/,QTR4/,https://www.sec.gov/Archives/edgar/data/1209930/0001562180-18-004109.txt
1008848,ACOR,2018/,QTR4/,https://www.sec.gov/Archives/edgar/data/1008848/0001567619-18-003636.txt
1057706,FBP,2018/,QTR4/,https://www.sec.gov/Archives/edgar/data/1183934/0001209191-18-053009.txt
99780,NYSE/TRN,2018/,QTR4/,https://www.sec.gov/Archives/edgar/data/1196980/0000099780-18-000159.txt
9092,BMI,2018/,QTR4/,https://www.sec.gov/Archives/edgar/data/1525211/0001209191-18-052940.txt
754737,SCG,2018/,QTR4/,https://www.sec.gov/Archives/edgar/data/1175182/0001225208-18-014406.txt
1395848,IOTS,2018/,QTR4/,https://www.sec.gov/Archives/edgar/data/1395848/0001567619-18-003674.txt
796343,ADBE,2018/,QTR4/,https://www.sec.gov/Archives/edgar/data/796343/0000796343-18-000164.txt
1703056,ADT,2018/,QTR4/,https://www.sec.gov/Archives/edgar/data/1703056/0001703056-18-000045.txt
1219120,AVK,2018/,QTR4/,https://www.sec.gov/Archives/edgar/data/1097278/0001179110-18-011767.txt
868857,ACM,2018/,QTR4/,https://www.sec.gov/Archives/edgar/data/868857/0001179110-18-011967.txt
1040470,AEHR,2018/,QTR4/,https://www.sec.gov/Archives/edgar/data/1040470/0001040470-18-000048.txt
1337553,AERI,2018/,QTR4/,https://www.sec.gov/Archives/edgar/data/1337553/0001209191-18-052854.txt
1036848,ACY,2018/,QTR4/,https://www.sec.gov/Archives/edgar/data/1036848/0001567619-18-003672.txt
40888,AJRD,2018/,QTR4/,https://www.sec.gov/Archives/edgar/data/40888/0001127602-18-029686.txt
1122304,AET,2018/,QTR4/,https://www.sec.gov/Archives/edgar/data/1122304/0001122304-18-000136.txt
1514281,MITT,2018/,QTR4/,https://www.sec.gov/Archives/edgar/data/1514281/0001514281-18-000005.txt
1069533,RGCO,2018/,QTR4/,https://www.sec.gov/Archives/edgar/data/1314626/0001314626-18-000012.txt
1098972,AGEN,2018/,QTR4/,https://www.sec.gov/Archives/edgar/data/1098972/0001288123-18-000024.txt
1376139,CVI,2018/,QTR4/,https://www.sec.gov/Archives/edgar/data/1722689/0001376139-18-000061.txt
320193,AAPL,2018/,QTR4/,https://www.sec.gov/Archives/edgar/data/1196612/0000320193-18-000122.txt
357020,XCRA,2018/,QTR4/,https://www.sec.gov/Archives/edgar/data/1253559/0001209191-18-053348.txt
2969,APD,2018/,QTR4/,https://www.sec.gov/Archives/edgar/data/2969/0001225208-18-013833.txt
353184,AIRT,2018/,QTR4/,https://www.sec.gov/Archives/edgar/data/353184/0001045714-18-000004.txt
918160,AKS,2018/,QTR4/,https://www.sec.gov/Archives/edgar/data/918160/0000918160-18-000142.txt
766421,ALK,2018/,QTR4/,https://www.sec.gov/Archives/edgar/data/766421/0001246360-18-002325.txt
1594012,ISBC,2018/,QTR4/,https://www.sec.gov/Archives/edgar/data/1467275/0001594012-18-000080.txt
202058,HRS,2018/,QTR4/,https://www.sec.gov/Archives/edgar/data/1182045/0001209191-18-053693.txt
1372020,GLDD,2018/,QTR4/,https://www.sec.gov/Archives/edgar/data/1287248/0001209191-18-053450.txt
1022321,GEL,2018/,QTR4/,https://www.sec.gov/Archives/edgar/data/1009059/0001022321-18-000084.txt
1412665,MOFG,2018/,QTR4/,https://www.sec.gov/Archives/edgar/data/1230428/0001412665-18-000115.txt
886346,KAI,2018/,QTR4/,https://www.sec.gov/Archives/edgar/data/1015997/0000886346-18-000096.txt
1382101,STRO,2018/,QTR4/,https://www.sec.gov/Archives/edgar/data/1240014/0001209191-18-052826.txt
1423824,ALDR,2018/,QTR4/,https://www.sec.gov/Archives/edgar/data/1423824/0001209191-18-054084.txt
356028,CA,2018/,QTR4/,https://www.sec.gov/Archives/edgar/data/1530101/0000356028-18-000148.txt
6845,APOG,2018/,QTR4/,https://www.sec.gov/Archives/edgar/data/1241731/0001209191-18-052811.txt
4127,SWKS,2018/,QTR4/,https://www.sec.gov/Archives/edgar/data/1025092/0001209191-18-054449.txt
1544227,OVAS,2018/,QTR4/,https://www.sec.gov/Archives/edgar/data/1185039/0001179110-18-011954.txt
1348911,KALV,2018/,QTR4/,https://www.sec.gov/Archives/edgar/data/1185039/0001567619-18-003781.txt
1024478,ROK,2018/,QTR4/,https://www.sec.gov/Archives/edgar/data/1204901/0001246360-18-002297.txt
1005817,TMP,2018/,QTR4/,https://www.sec.gov/Archives/edgar/data/1074514/0001127602-18-029349.txt
1141688,LARK,2018/,QTR4/,https://www.sec.gov/Archives/edgar/data/942698/0001493152-18-014016.txt
804328,QCOM,2018/,QTR4/,https://www.sec.gov/Archives/edgar/data/1091619/0001205233-18-000075.txt
1035443,ARE,2018/,QTR4/,https://www.sec.gov/Archives/edgar/data/1035443/0001035443-18-000195.txt
1159167,IRBT,2018/,QTR4/,https://www.sec.gov/Archives/edgar/data/1580247/0001209191-18-052902.txt
775368,Y,2018/,QTR4/,https://www.sec.gov/Archives/edgar/data/775368/0000921895-18-002691.txt
1401708,NSTG,2018/,QTR4/,https://www.sec.gov/Archives/edgar/data/1576194/0001401708-18-000124.txt
1137411,COL,2018/,QTR4/,https://www.sec.gov/Archives/edgar/data/1191569/0001137411-18-000075.txt
1420800,CFX,2018/,QTR4/,https://www.sec.gov/Archives/edgar/data/1205268/0001209191-18-053105.txt
1162028,AKP,2018/,QTR4/,https://www.sec.gov/Archives/edgar/data/1162028/0001398344-18-014262.txt
939930,PYX,2018/,QTR4/,https://www.sec.gov/Archives/edgar/data/939930/0000939930-18-000073.txt
1086600,ARLP,2018/,QTR4/,https://www.sec.gov/Archives/edgar/data/1086600/0001179110-18-011971.txt
1109448,NONE,2018/,QTR4/,https://www.sec.gov/Archives/edgar/data/1109448/0001209191-18-052793.txt
899051,ALL,2018/,QTR4/,https://www.sec.gov/Archives/edgar/data/899051/0001127602-18-029387.txt
47518,HRC,2018/,QTR4/,https://www.sec.gov/Archives/edgar/data/1639477/0000047518-18-000085.txt
1626199,ALPN,2018/,QTR4/,https://www.sec.gov/Archives/edgar/data/1626199/0000899243-18-025713.txt
96869,TRC,2018/,QTR4/,https://www.sec.gov/Archives/edgar/data/1083436/0001209191-18-054134.txt
1746037,ARYA,2018/,QTR4/,https://www.sec.gov/Archives/edgar/data/1746738/0001213900-18-013610.txt
1093557,DXCM,2018/,QTR4/,https://www.sec.gov/Archives/edgar/data/1191307/0001093557-18-000213.txt
764180,MO,2018/,QTR4/,https://www.sec.gov/Archives/edgar/data/764180/0001182489-18-000426.txt
875320,VRTX,2018/,QTR4/,https://www.sec.gov/Archives/edgar/data/1550395/0001209191-18-053152.txt
1365916,AMRS,2018/,QTR4/,https://www.sec.gov/Archives/edgar/data/1720126/0001365916-18-000022.txt
897448,AMRN,2018/,QTR4/,https://www.sec.gov/Archives/edgar/data/897448/0001209191-18-053459.txt
1546381,RLJE,2018/,QTR4/,https://www.sec.gov/Archives/edgar/data/1514991/0000899243-18-025817.txt
896262,AMED,2018/,QTR4/,https://www.sec.gov/Archives/edgar/data/896262/0000899243-18-025705.txt
4457,UHAL,2018/,QTR4/,https://www.sec.gov/Archives/edgar/data/4457/0001225208-18-014449.txt
919012,AEO,2018/,QTR4/,https://www.sec.gov/Archives/edgar/data/919012/0001225208-18-014310.txt
4904,AEP,2018/,QTR4/,https://www.sec.gov/Archives/edgar/data/4904/0001398889-18-000118.txt
1476246,TPCA,2018/,QTR4/,https://www.sec.gov/Archives/edgar/data/1738751/0001104659-18-059736.txt
4962,AXP,2018/,QTR4/,https://www.sec.gov/Archives/edgar/data/4962/0001127602-18-029136.txt
5272,AIG,2018/,QTR4/,https://www.sec.gov/Archives/edgar/data/5272/0001225208-18-013907.txt
1201792,APEI,2018/,QTR4/,https://www.sec.gov/Archives/edgar/data/1201792/0001123292-18-000980.txt
1056903,AWR,2018/,QTR4/,https://www.sec.gov/Archives/edgar/data/1056903/0001209191-18-052891.txt
1053507,AMT,2018/,QTR4/,https://www.sec.gov/Archives/edgar/data/1053507/0001338678-18-000043.txt
932628,APU,2018/,QTR4/,https://www.sec.gov/Archives/edgar/data/932628/0001209191-18-053859.txt
1140859,ABC,2018/,QTR4/,https://www.sec.gov/Archives/edgar/data/1140859/0001127602-18-029025.txt
1178879,FOLD,2018/,QTR4/,https://www.sec.gov/Archives/edgar/data/1178879/0000899243-18-026272.txt
773910,APC,2018/,QTR4/,https://www.sec.gov/Archives/edgar/data/773910/0001127602-18-028992.txt
6281,ADI,2018/,QTR4/,https://www.sec.gov/Archives/edgar/data/6281/0000006281-18-000117.txt
1314052,AVXL,2018/,QTR4/,https://www.sec.gov/Archives/edgar/data/1314052/0001615774-18-010436.txt
1507615,ANDX,2018/,QTR4/,https://www.sec.gov/Archives/edgar/data/50104/0001209191-18-054167.txt
50104,ANDV,2018/,QTR4/,https://www.sec.gov/Archives/edgar/data/50104/0000899243-18-025921.txt
1013880,TTEC,2018/,QTR4/,https://www.sec.gov/Archives/edgar/data/1753548/0001179110-18-011773.txt
108516,WOR,2018/,QTR4/,https://www.sec.gov/Archives/edgar/data/1227159/0001209191-18-052642.txt
1028734,COBZ,2018/,QTR4/,https://www.sec.gov/Archives/edgar/data/1193504/0001028734-18-000119.txt
79879,PPG,2018/,QTR4/,https://www.sec.gov/Archives/edgar/data/1190775/0001209191-18-052957.txt
1705110,ANGI,2018/,QTR4/,https://www.sec.gov/Archives/edgar/data/1705110/0001179110-18-011854.txt
773840,HON,2018/,QTR4/,https://www.sec.gov/Archives/edgar/data/1215356/0000950117-18-000337.txt
52795,AXE,2018/,QTR4/,https://www.sec.gov/Archives/edgar/data/52795/0001209191-18-053901.txt
1016169,ATRS,2018/,QTR4/,https://www.sec.gov/Archives/edgar/data/1016169/0001209191-18-054297.txt
1020569,IRM,2018/,QTR4/,https://www.sec.gov/Archives/edgar/data/1244482/0001020569-18-000106.txt
6769,APA,2018/,QTR4/,https://www.sec.gov/Archives/edgar/data/6769/0001357400-18-000140.txt
46195,BOH,2018/,QTR4/,https://www.sec.gov/Archives/edgar/data/1204651/0001562180-18-004097.txt
1433195,APPF,2018/,QTR4/,https://www.sec.gov/Archives/edgar/data/1433195/0001433195-18-000054.txt
1441683,APPN,2018/,QTR4/,https://www.sec.gov/Archives/edgar/data/1441683/0001209191-18-053294.txt
109563,AIT,2018/,QTR4/,https://www.sec.gov/Archives/edgar/data/109563/0000109563-18-000119.txt
6951,AMAT,2018/,QTR4/,https://www.sec.gov/Archives/edgar/data/6951/0001127602-18-029489.txt
78128,WTR,2018/,QTR4/,https://www.sec.gov/Archives/edgar/data/78128/0001127602-18-029209.txt
1046257,INGR,2018/,QTR4/,https://www.sec.gov/Archives/edgar/data/1234357/0001127602-18-029476.txt
7084,ADM,2018/,QTR4/,https://www.sec.gov/Archives/edgar/data/7084/0001225208-18-014276.txt
101984,UEIC,2018/,QTR4/,https://www.sec.gov/Archives/edgar/data/1216543/0001209191-18-053129.txt
1069530,PTIE,2018/,QTR4/,https://www.sec.gov/Archives/edgar/data/1601086/0000919574-18-006525.txt
1000623,SWM,2018/,QTR4/,https://www.sec.gov/Archives/edgar/data/1026161/0001000623-18-000083.txt
1125920,SFLY,2018/,QTR4/,https://www.sec.gov/Archives/edgar/data/1268849/0001567619-18-003662.txt
1001039,DIS,2018/,QTR4/,https://www.sec.gov/Archives/edgar/data/1215995/0001001039-18-000162.txt
869495,DWOG,2018/,QTR4/,https://www.sec.gov/Archives/edgar/data/1529132/0001213900-18-013373.txt
863110,ARTNA,2018/,QTR4/,https://www.sec.gov/Archives/edgar/data/863110/0001127602-18-028893.txt
1674862,ASH,2018/,QTR4/,https://www.sec.gov/Archives/edgar/data/1674862/0001127602-18-029126.txt
48287,HNI,2018/,QTR4/,https://www.sec.gov/Archives/edgar/data/1195347/0000048287-18-000198.txt
1487198,ASPU,2018/,QTR4/,https://www.sec.gov/Archives/edgar/data/1487198/0001553350-18-001093.txt
929940,AZPN,2018/,QTR4/,https://www.sec.gov/Archives/edgar/data/929940/0001127602-18-029034.txt
1724344,ETTX,2018/,QTR4/,https://www.sec.gov/Archives/edgar/data/928966/0001209191-18-053533.txt
8063,ATRO,2018/,QTR4/,https://www.sec.gov/Archives/edgar/data/8063/0001209191-18-052798.txt
732717,T,2018/,QTR4/,https://www.sec.gov/Archives/edgar/data/732717/0001127602-18-029065.txt
1131096,ATHN,2018/,QTR4/,https://www.sec.gov/Archives/edgar/data/1131096/0001131096-18-000196.txt
940944,DRI,2018/,QTR4/,https://www.sec.gov/Archives/edgar/data/1260096/0001225208-18-014420.txt
1419242,AT,2018/,QTR4/,https://www.sec.gov/Archives/edgar/data/1419242/0001179110-18-011736.txt
731802,ATO,2018/,QTR4/,https://www.sec.gov/Archives/edgar/data/731802/0001127602-18-029045.txt
896264,USNA,2018/,QTR4/,https://www.sec.gov/Archives/edgar/data/1203342/0001179110-18-011813.txt
826253,AUSI,2018/,QTR4/,https://www.sec.gov/Archives/edgar/data/826253/0001209191-18-054376.txt
866787,AZO,2018/,QTR4/,https://www.sec.gov/Archives/edgar/data/866787/0001225208-18-013920.txt
39677,AVHI,2018/,QTR4/,https://www.sec.gov/Archives/edgar/data/39677/0001179110-18-011931.txt
1377789,AVNW,2018/,QTR4/,https://www.sec.gov/Archives/edgar/data/1377789/0001377789-18-000091.txt
8858,AVT,2018/,QTR4/,https://www.sec.gov/Archives/edgar/data/8858/0001127602-18-029504.txt
8868,AVP,2018/,QTR4/,https://www.sec.gov/Archives/edgar/data/8868/0001209191-18-052864.txt
22444,CMC,2018/,QTR4/,https://www.sec.gov/Archives/edgar/data/1006053/0001246360-18-002305.txt
859163,AVX,2018/,QTR4/,https://www.sec.gov/Archives/edgar/data/859163/0001127602-18-029265.txt
1286131,STON,2018/,QTR4/,https://www.sec.gov/Archives/edgar/data/1650781/0000902664-18-003599.txt
1069183,AAXN,2018/,QTR4/,https://www.sec.gov/Archives/edgar/data/1069183/0001069183-18-000102.txt
4281,ARNC,2018/,QTR4/,https://www.sec.gov/Archives/edgar/data/1461865/0000004281-18-000116.txt
1092570,FULO,2018/,QTR4/,https://www.sec.gov/Archives/edgar/data/1254088/0001720088-18-000016.txt
1564708,NWS,2018/,QTR4/,https://www.sec.gov/Archives/edgar/data/1367776/0001567619-18-003634.txt
1551152,ABBV,2018/,QTR4/,https://www.sec.gov/Archives/edgar/data/1551152/0001179110-18-011829.txt
944480,GVP,2018/,QTR4/,https://www.sec.gov/Archives/edgar/data/1660027/0001567619-18-003504.txt
879635,MPB,2018/,QTR4/,https://www.sec.gov/Archives/edgar/data/1511696/0001171843-18-006773.txt
1503290,ACP,2018/,QTR4/,https://www.sec.gov/Archives/edgar/data/1503290/0001446215-18-000004.txt
865058,NSEC,2018/,QTR4/,https://www.sec.gov/Archives/edgar/data/1694482/0000914190-18-000422.txt
1217234,CDNA,2018/,QTR4/,https://www.sec.gov/Archives/edgar/data/1590728/0000899243-18-025911.txt
110621,RPM,2018/,QTR4/,https://www.sec.gov/Archives/edgar/data/1425152/0001209191-18-054386.txt
1334933,UEC,2018/,QTR4/,https://www.sec.gov/Archives/edgar/data/1326633/0001638599-18-001147.txt
1651235,ACIA,2018/,QTR4/,https://www.sec.gov/Archives/edgar/data/1651235/0001651235-18-000164.txt
1467373,ACN,2018/,QTR4/,https://www.sec.gov/Archives/edgar/data/1467373/0001467373-18-000289.txt
1557746,ACRS,2018/,QTR4/,https://www.sec.gov/Archives/edgar/data/1557746/0001209191-18-054397.txt
931148,EAF,2018/,QTR4/,https://www.sec.gov/Archives/edgar/data/1738354/0001104659-18-060364.txt
1621227,ADAP,2018/,QTR4/,https://www.sec.gov/Archives/edgar/data/1621227/0001104659-18-060128.txt
1670541,ADNT,2018/,QTR4/,https://www.sec.gov/Archives/edgar/data/1670541/0001127602-18-029435.txt
922224,PPL,2018/,QTR4/,https://www.sec.gov/Archives/edgar/data/1400395/0001209191-18-053073.txt
730464,ATGE,2018/,QTR4/,https://www.sec.gov/Archives/edgar/data/730464/0001127602-18-028805.txt
1673985,ASIX,2018/,QTR4/,https://www.sec.gov/Archives/edgar/data/1673985/0001673985-18-000108.txt
1589029,,2018/,QTR4/,https://www.sec.gov/Archives/edgar/data/1675059/0001104659-18-059661.txt
353020,AEGN,2018/,QTR4/,https://www.sec.gov/Archives/edgar/data/353020/0001437749-18-017907.txt
26076,CUB,2018/,QTR4/,https://www.sec.gov/Archives/edgar/data/1711750/0001179110-18-011996.txt
1284812,CNS,2018/,QTR4/,https://www.sec.gov/Archives/edgar/data/1519118/0000899243-18-025959.txt
1017480,HIBB,2018/,QTR4/,https://www.sec.gov/Archives/edgar/data/1316282/0001567619-18-003343.txt
1592016,AGFS,2018/,QTR4/,https://www.sec.gov/Archives/edgar/data/1592016/0000899243-18-025806.txt
1274494,FSLR,2018/,QTR4/,https://www.sec.gov/Archives/edgar/data/1381112/0001127602-18-028831.txt
1584754,AKTS,2018/,QTR4/,https://www.sec.gov/Archives/edgar/data/1700518/0001615774-18-010232.txt
876167,PRGS,2018/,QTR4/,https://www.sec.gov/Archives/edgar/data/1750309/0000876167-18-000113.txt
906709,NKTR,2018/,QTR4/,https://www.sec.gov/Archives/edgar/data/1557533/0001209191-18-052907.txt
1048477,BMRN,2018/,QTR4/,https://www.sec.gov/Archives/edgar/data/1557533/0001567619-18-003780.txt
1272830,VG,2018/,QTR4/,https://www.sec.gov/Archives/edgar/data/1295252/0001272830-18-000121.txt
45012,HAL,2018/,QTR4/,https://www.sec.gov/Archives/edgar/data/1627197/0000045012-18-000155.txt
1510295,MPC,2018/,QTR4/,https://www.sec.gov/Archives/edgar/data/1627197/0001209191-18-053564.txt
1577368,QTS,2018/,QTR4/,https://www.sec.gov/Archives/edgar/data/1754322/0001179110-18-011977.txt
1567514,ITCI,2018/,QTR4/,https://www.sec.gov/Archives/edgar/data/1299430/0001209191-18-053523.txt
1675149,AA,2018/,QTR4/,https://www.sec.gov/Archives/edgar/data/1675149/0001209191-18-054404.txt
1622229,UMRX,2018/,QTR4/,https://www.sec.gov/Archives/edgar/data/1734412/0001209191-18-053949.txt
1609711,GDDY,2018/,QTR4/,https://www.sec.gov/Archives/edgar/data/1676146/0001609711-18-000220.txt
1545654,ALEX,2018/,QTR4/,https://www.sec.gov/Archives/edgar/data/1545654/0001225208-18-014466.txt
1434728,GWRS,2018/,QTR4/,https://www.sec.gov/Archives/edgar/data/1672990/0001434728-18-000201.txt
1520262,ALKS,2018/,QTR4/,https://www.sec.gov/Archives/edgar/data/1520262/0001127602-18-029250.txt
1642081,ABTX,2018/,QTR4/,https://www.sec.gov/Archives/edgar/data/1642081/0001642081-18-000101.txt
31978,EE,2018/,QTR4/,https://www.sec.gov/Archives/edgar/data/1356186/0001127602-18-028696.txt
1397047,FPAY,2018/,QTR4/,https://www.sec.gov/Archives/edgar/data/1668948/0001213900-18-013334.txt
1657853,HTZ,2018/,QTR4/,https://www.sec.gov/Archives/edgar/data/1719229/0001719229-18-000004.txt
720005,RJF,2018/,QTR4/,https://www.sec.gov/Archives/edgar/data/1453440/0001225208-18-014052.txt
1607716,VSLR,2018/,QTR4/,https://www.sec.gov/Archives/edgar/data/1618793/0001209191-18-054263.txt
1039280,NTWK,2018/,QTR4/,https://www.sec.gov/Archives/edgar/data/1585901/0001493152-18-014173.txt
1652044,GOOG,2018/,QTR4/,https://www.sec.gov/Archives/edgar/data/1652044/0001209191-18-052676.txt
9389,BLL,2018/,QTR4/,https://www.sec.gov/Archives/edgar/data/1365933/0001562180-18-004179.txt
1689923,AYX,2018/,QTR4/,https://www.sec.gov/Archives/edgar/data/1689923/0001209191-18-053240.txt
1326190,ALT,2018/,QTR4/,https://www.sec.gov/Archives/edgar/data/1326190/0001012975-18-001091.txt
1655199,XNAFX,2018/,QTR4/,https://www.sec.gov/Archives/edgar/data/1054970/0001415889-18-001440.txt
105319,WTW,2018/,QTR4/,https://www.sec.gov/Archives/edgar/data/1458116/0001209191-18-053768.txt
1381531,UFS,2018/,QTR4/,https://www.sec.gov/Archives/edgar/data/1549014/0001209191-18-053024.txt
1357204,DNKN,2018/,QTR4/,https://www.sec.gov/Archives/edgar/data/1310215/0001209191-18-054250.txt
1624794,CSWI,2018/,QTR4/,https://www.sec.gov/Archives/edgar/data/1668461/0001593968-18-001312.txt
1601712,SYF,2018/,QTR4/,https://www.sec.gov/Archives/edgar/data/1315419/0001601712-18-000255.txt
109177,SPB,2018/,QTR4/,https://www.sec.gov/Archives/edgar/data/1300190/0000950142-18-001995.txt
813828,"CBS, CBS.A",2018/,QTR4/,https://www.sec.gov/Archives/edgar/data/1347941/0001225208-18-014157.txt
1488139,AMRC,2018/,QTR4/,https://www.sec.gov/Archives/edgar/data/1488139/0001488139-18-000076.txt
1568162,AFIN,2018/,QTR4/,https://www.sec.gov/Archives/edgar/data/1568162/0001144204-18-051628.txt
1513965,AMID,2018/,QTR4/,https://www.sec.gov/Archives/edgar/data/1513965/0001628280-18-012284.txt
1331875,FNF,2018/,QTR4/,https://www.sec.gov/Archives/edgar/data/1335360/0001127602-18-028980.txt
1095073,RE,2018/,QTR4/,https://www.sec.gov/Archives/edgar/data/1559514/0001567619-18-003454.txt
1411906,AMPE,2018/,QTR4/,https://www.sec.gov/Archives/edgar/data/1411906/0001209191-18-053316.txt
24545,TAP,2018/,QTR4/,https://www.sec.gov/Archives/edgar/data/1486343/0001214659-18-006352.txt
1109357,EXC,2018/,QTR4/,https://www.sec.gov/Archives/edgar/data/1559294/0001109357-18-000083.txt
1265131,HTH,2018/,QTR4/,https://www.sec.gov/Archives/edgar/data/1472588/0001562180-18-004098.txt
704440,REPR,2018/,QTR4/,https://www.sec.gov/Archives/edgar/data/1304554/0001161697-18-000464.txt
839470,WWR,2018/,QTR4/,https://www.sec.gov/Archives/edgar/data/1577417/0001123292-18-000977.txt
1294133,INGN,2018/,QTR4/,https://www.sec.gov/Archives/edgar/data/1331802/0001209191-18-053202.txt
51253,IFF,2018/,QTR4/,https://www.sec.gov/Archives/edgar/data/1692622/0001225208-18-014159.txt
10254,ESTE,2018/,QTR4/,https://www.sec.gov/Archives/edgar/data/1397146/0000010254-18-000042.txt
1043277,CHRW,2018/,QTR4/,https://www.sec.gov/Archives/edgar/data/1289294/0001209191-18-053236.txt
1032220,MMS,2018/,QTR4/,https://www.sec.gov/Archives/edgar/data/1340351/0001032220-18-000080.txt
1235468,LQDT,2018/,QTR4/,https://www.sec.gov/Archives/edgar/data/1352618/0001628280-18-012293.txt
715446,ANIX,2018/,QTR4/,https://www.sec.gov/Archives/edgar/data/715446/0001513162-18-000249.txt
1156039,ANTM,2018/,QTR4/,https://www.sec.gov/Archives/edgar/data/1156039/0001127602-18-029583.txt
755001,UTL,2018/,QTR4/,https://www.sec.gov/Archives/edgar/data/1297010/0001209191-18-053036.txt
1023860,SSFN,2018/,QTR4/,https://www.sec.gov/Archives/edgar/data/1620083/0001620083-18-000022.txt
1405073,AREX,2018/,QTR4/,https://www.sec.gov/Archives/edgar/data/1405073/0001209191-18-053379.txt
1422841,WAAS,2018/,QTR4/,https://www.sec.gov/Archives/edgar/data/1422841/0001179110-18-011892.txt
1398733,AQST,2018/,QTR4/,https://www.sec.gov/Archives/edgar/data/1398733/0001140361-18-039942.txt
1739445,NYSE/ACA,2018/,QTR4/,https://www.sec.gov/Archives/edgar/data/1739445/0001739445-18-000015.txt
1515324,ARDC,2018/,QTR4/,https://www.sec.gov/Archives/edgar/data/1754938/0001104659-18-060763.txt
14272,BMY,2018/,QTR4/,https://www.sec.gov/Archives/edgar/data/1323134/0000014272-18-000185.txt
1091748,ARGO,2018/,QTR4/,https://www.sec.gov/Archives/edgar/data/1091748/0000899243-18-026310.txt
1494259,CARG,2018/,QTR4/,https://www.sec.gov/Archives/edgar/data/1718998/0001127602-18-028756.txt
1498122,ARST,2018/,QTR4/,https://www.sec.gov/Archives/edgar/data/1498122/0001213900-18-013543.txt
1596532,ANET,2018/,QTR4/,https://www.sec.gov/Archives/edgar/data/1596532/0001596532-18-000223.txt
1209028,AI,2018/,QTR4/,https://www.sec.gov/Archives/edgar/data/1209028/0000899243-18-025792.txt
1569187,AHH,2018/,QTR4/,https://www.sec.gov/Archives/edgar/data/1569187/0000925421-18-000322.txt
757011,USG,2018/,QTR4/,https://www.sec.gov/Archives/edgar/data/1377480/0000757011-18-000094.txt
